Time_step,Transaction_Id,Sender_Id,Sender_Account,Sender_Country,Sender_Gender,Sender_Sector,Sender_lob,Bene_Id,Bene_Account,Bene_Country,Bene_Gender,USD_amount,Label,Transaction_Type
15/03/2022 10:24,QUICK-PAYMENT-8757,JPMC-CLIENT-8738,ACCOUNT-8753,USA,Male,31927,CCB,JPMC-CLIENT-8736,ACCOUNT-8748,United States Of America,Male,687.76,0,QUICK-PAYMENT
15/03/2022 10:24,QUICK-PAYMENT-8477,JPMC-CLIENT-8458,ACCOUNT-8469,USA,Female,46709,CCB,CLIENT-8460,ACCOUNT-8472,Canada,Male,100.4,0,QUICK-PAYMENT
15/03/2022 10:24,WITHDRAWAL-7635,JPMC-CLIENT-7614,ACCOUNT-7625,USA,Female,29504,CCB,,,,Female,646.64,0,EXCHANGE
15/03/2022 10:24,QUICK-PAYMENT-7065,JPMC-CLIENT-7048,ACCOUNT-7059,USA,Male,10365,CCB,CLIENT-7050,ACCOUNT-7063,Canada,N/A,582.67,0,QUICK-PAYMENT
15/03/2022 10:24,QUICK-DEPOSIT-6991,,,,Female,,,JPMC-CLIENT-6974,ACCOUNT-6985,United States Of America,Female,569.5,0,DEPOSIT-CASH
15/03/2022 10:24,WITHDRAWAL-6431,JPMC-CLIENT-6414,ACCOUNT-6424,USA,Female,49654,CCB,,,,N/A,499.13,0,EXCHANGE
15/03/2022 10:24,MOVE-FUNDS-6432,CLIENT-6433,ACCOUNT-6434,USA,N/A,45688,CCB,JPMC-CLIENT-6414,ACCOUNT-6425,United States Of America,N/A,869.41,0,MOVE-FUNDS
15/03/2022 10:24,QUICK-DEPOSIT-5547,,,,Female,,,JPMC-CLIENT-5529,ACCOUNT-5540,United States Of America,Male,234.9,0,DEPOSIT-CASH
15/03/2022 10:24,DEPOSIT-CHECK-5242,,,,Male,,,JPMC-CLIENT-5222,ACCOUNT-5234,United States Of America,Male,935,0,DEPOSIT-CHECK
15/03/2022 10:24,DEPOSIT-CASH-4807,,,,Male,,,JPMC-CLIENT-4789,ACCOUNT-4800,United States Of America,N/A,100.45,0,DEPOSIT-CASH
15/03/2022 10:24,QUICK-DEPOSIT-4781,,,,N/A,,,JPMC-CLIENT-4764,ACCOUNT-4774,United States Of America,Male,122.31,0,DEPOSIT-CASH
15/03/2022 10:24,PAY-CHECK-4037,JPMC-CLIENT-4020,ACCOUNT-4031,USA,Female,24763,CCB,CLIENT-4038,ACCOUNT-4039,United States Of America,Male,528,0,PAY-CHECK
15/03/2022 10:24,QUICK-PAYMENT-3172,CLIENT-3173,ACCOUNT-3174,USA,N/A,35958,CCB,JPMC-CLIENT-3155,ACCOUNT-3166,United States Of America,Male,390.08,0,QUICK-PAYMENT
15/03/2022 10:24,PAY-BILL-1683,JPMC-CLIENT-1666,ACCOUNT-1676,USA,N/A,1538,CCB,COMPANY-1672,ACCOUNT-1681,Puerto-Rico,Female,462.92,0,MAKE-PAYMENT
15/03/2022 10:34,QUICK-DEPOSIT-9505,,,,Female,,,JPMC-CLIENT-9483,ACCOUNT-9500,United States Of America,Female,458.78,0,DEPOSIT-CASH
15/03/2022 10:34,WITHDRAWAL-9250,JPMC-CLIENT-9229,ACCOUNT-9240,USA,Male,1073,CCB,,,,Female,100,0,WITHDRAWAL
15/03/2022 10:34,MOVE-FUNDS-7067,JPMC-CLIENT-7048,ACCOUNT-7058,USA,Female,25498,CCB,COMPANY-7054,ACCOUNT-7057,United States Of America,Male,100.01,0,MOVE-FUNDS
15/03/2022 10:34,PAY-CHECK-5245,JPMC-CLIENT-5222,ACCOUNT-5234,USA,Female,36998,CCB,CLIENT-5224,ACCOUNT-5237,United States Of America,Male,746.61,0,PAY-CHECK
15/03/2022 10:34,QUICK-PAYMENT-2967,COMPANY-2955,ACCOUNT-2964,USA,Male,47006,CCB,JPMC-CLIENT-2948,ACCOUNT-2959,United States Of America,Male,391.97,0,QUICK-PAYMENT
15/03/2022 10:34,DEPOSIT-CASH-1949,,,,N/A,,,JPMC-CLIENT-1926,ACCOUNT-1941,United States Of America,Female,998.5,0,DEPOSIT-CASH
15/03/2022 10:44,WITHDRAWAL-8760,JPMC-CLIENT-8736,ACCOUNT-8747,USA,Female,34375,CCB,,,,Male,127.54,0,EXCHANGE
15/03/2022 10:44,EXCHANGE-1690,JPMC-CLIENT-1666,ACCOUNT-1677,USA,Female,9986,CCB,,,,N/A,292.91,0,EXCHANGE
15/03/2022 10:54,MAKE-PAYMENT-9252,JPMC-CLIENT-9229,ACCOUNT-9240,USA,Male,15478,CCB,CLIENT-9247,ACCOUNT-9248,Tanzania,Male,100,0,MAKE-PAYMENT
15/03/2022 11:04,MAKE-PAYMENT-9253,JPMC-CLIENT-9229,ACCOUNT-9240,USA,Male,49583,CCB,CLIENT-9247,ACCOUNT-9248,Tanzania,Female,830.85,0,MAKE-PAYMENT
15/03/2022 11:04,PAY-BILL-1118,JPMC-CLIENT-1093,ACCOUNT-1103,USA,Female,32412,CCB,JPMC-COMPANY-1098,ACCOUNT-1107,Martinique,Female,248,0,MAKE-PAYMENT
15/03/2022 11:14,QUICK-PAYMENT-1953,JPMC-CLIENT-1926,ACCOUNT-1940,USA,N/A,39230,CCB,COMPANY-1930,ACCOUNT-1936,Germany,Female,531.48,0,QUICK-PAYMENT
15/03/2022 11:34,QUICK-PAYMENT-1955,JPMC-CLIENT-1926,ACCOUNT-1941,USA,Female,9086,CCB,CLIENT-1928,ACCOUNT-1938,Antigua-Barbuda,Female,820,0,QUICK-PAYMENT
15/03/2022 22:24,MOVE-FUNDS-10118,JPMC-CLIENT-10098,ACCOUNT-10109,USA,Male,14679,CCB,CLIENT-10100,ACCOUNT-10106,Canada,Female,504.74,0,MOVE-FUNDS
15/03/2022 22:24,QUICK-PAYMENT-8198,JPMC-CLIENT-8177,ACCOUNT-8187,USA,Female,41484,CCB,CLIENT-8195,ACCOUNT-8196,United States Of America,Male,236.71,0,QUICK-PAYMENT
15/03/2022 22:24,DEPOSIT-CASH-7352,,,,Male,,,JPMC-CLIENT-7329,ACCOUNT-7343,United States Of America,N/A,539,0,DEPOSIT-CASH
